GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FreeMarkerDown,de.weltraumschaf.freemarkerdown,Variables,0,51,0,2,0,11,0,7,0,6
FreeMarkerDown,de.weltraumschaf.freemarkerdown,FreeMarker,0,52,0,0,0,9,0,4,0,4
FreeMarkerDown,de.weltraumschaf.freemarkerdown,FreemarkerProperties.PropertyNames,9,33,0,0,0,8,2,4,2,4
FreeMarkerDown,de.weltraumschaf.freemarkerdown,EventProducer,0,3,0,0,0,1,0,1,0,1
FreeMarkerDown,de.weltraumschaf.freemarkerdown,Defaults,9,42,0,0,0,7,2,3,2,3
FreeMarkerDown,de.weltraumschaf.freemarkerdown,PreProcessorApplierImpl,0,86,0,10,0,23,0,7,0,2
FreeMarkerDown,de.weltraumschaf.freemarkerdown,FragmentImpl,0,20,0,0,0,3,0,2,0,2
FreeMarkerDown,de.weltraumschaf.freemarkerdown,VariableScope,0,130,0,16,0,23,0,16,0,8
FreeMarkerDown,de.weltraumschaf.freemarkerdown,TemplateError,0,7,0,0,0,2,0,1,0,1
FreeMarkerDown,de.weltraumschaf.freemarkerdown,Event,0,30,0,0,0,8,0,4,0,4
FreeMarkerDown,de.weltraumschaf.freemarkerdown,BaseTemplate,0,344,0,14,0,61,0,25,0,18
FreeMarkerDown,de.weltraumschaf.freemarkerdown,FreeMarkerDown,6,258,5,9,0,55,5,30,0,28
FreeMarkerDown,de.weltraumschaf.freemarkerdown,LayoutImpl,0,141,3,11,0,29,3,11,0,7
FreeMarkerDown,de.weltraumschaf.freemarkerdown,Interceptor.ExecutionPoint,9,69,0,0,0,7,2,2,2,2
FreeMarkerDown,de.weltraumschaf.freemarkerdown,RenderOptions,9,19,0,0,0,2,2,2,2,2
FreeMarkerDown,de.weltraumschaf.freemarkerdown,KeyValueProcessor,0,176,0,18,0,33,0,14,0,5
FreeMarkerDown,de.weltraumschaf.freemarkerdown,EventDispatcher,0,69,0,6,0,15,0,7,0,4
FreeMarkerDown,de.weltraumschaf.freemarkerdown,PreProcessors,0,12,0,0,0,3,0,2,0,2
FreeMarkerDown,de.weltraumschaf.freemarkerdown,FreemarkerProperties,20,67,5,3,0,15,4,5,0,5
